ID	logFC	AveExpr	adj.P.Val
DN40938_c0_g1	1.48389587	-0.849398604	0.000818305
DN40952_c0_g1	1.403494067	-0.395045676	1.01e-08
DN41002_c0_g1	1.46482706	-2.611816811	0.002000084
DN41015_c0_g1	-1.00054555	-1.093136362	0.000451665
DN41028_c0_g1	1.719491969	2.640167015	1.8e-09
DN41030_c0_g1	-1.214833497	2.788001407	1.08e-06
DN41031_c0_g1	3.567789195	3.024875184	1.18e-15
DN41057_c0_g1	2.957772635	1.511820097	3.43e-17
DN41059_c0_g1	2.424530265	2.743755106	2.57e-06
DN41069_c0_g3	-2.825693862	-1.828883484	1.73e-09
DN41093_c0_g1	-2.304475284	1.365730005	0.00052151
DN41100_c0_g1	-1.234389566	-1.536644639	0.001482027
DN41125_c0_g1	-1.044280184	-0.850056377	0.000643924
DN41140_c0_g1	-3.251487154	1.558458406	2.1e-15
DN41152_c1_g1	1.53577296	-1.909366717	0.000101706
DN41154_c0_g1	-1.885984216	4.368765362	3.15e-07
DN41177_c0_g1	-1.037015478	3.643385042	0.002611675
DN41182_c0_g1	-1.603588293	3.733453475	5.05e-18
DN41185_c0_g1	1.722260293	-1.078172769	1.26e-07
DN41190_c0_g1	2.509692267	2.86431175	1.63e-05
DN41206_c0_g1	-2.264887241	0.352409131	1.86e-10
DN41208_c0_g1	-3.231606718	-1.566047755	5.67e-10
DN41217_c0_g1	-2.486730535	-2.269697666	7.01e-07
DN41217_c0_g2	-1.648512875	-2.79118648	0.000542479
